@relation spambase-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N14-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute class {0,1}

@data
6.547152,0,2.79553,-0.114315,-209.463832,197.840039,-0.114315,1.454923,-7.160298,485.142235,-0.727461,491.902429,492.744206,493.357352,1
3.06573,-1.02191,0.576773,-0.445137,-115.914036,95.356325,2.620593,0,-2.620593,415.964126,0,431.280651,434.791518,429.236831,1
13.509996,0,0.739586,-2.857884,-19.393773,3.393088,-2.984324,1.229756,-16.293402,112.397973,-0.323894,115.112097,125.400478,115.527789,1
4.137869,0.677232,2.407551,0.239023,-15.467214,5.866456,4.815101,0.119512,-3.204294,126.489938,-1.491296,133.227616,129.107067,128.987556,1
5.334716,1.177795,0.588897,-5.317396,-28.41949,14.079841,1.160474,2.438728,-12.418804,163.160918,-1.177795,168.043569,171.022697,163.249253,1
7.932793,1.247077,-0.517883,-5.731356,-57.781215,47.572507,-1.158742,1.903524,-14.083305,308.457464,-2.494153,311.976991,318.764899,312.567621,1
5.715768,0,1.143154,-3.429461,-60.032881,47.65911,2.286307,0,-4.572614,204.063298,0,214.150762,207.291841,211.864455,1
2.511474,4.226204,0.704945,-2.672554,-81.789171,72.157237,0.687624,2.206633,-8.291327,328.644516,-3.360179,341.023484,334.481528,338.868812,1
10.184459,-2.546115,2.546115,-2.546115,-5.196152,-7.091016,-2.546115,0,-12.730573,27.342154,0,29.444864,37.083208,29.444864,1
12.124356,-2.546115,0.883346,-1.870615,-116.897841,96.433661,1.939897,0.521347,-12.055074,517.389557,0.519615,530.527162,529.141522,524.826983,1
0,3.39482,-3.742962,-0.348142,-102.016061,97.70845,-0.348142,0.173205,0.348142,232.42563,0,244.219164,244.567306,247.440778,1
15.32865,2.182384,4.382089,-15.32865,-497.098582,354.013865,-4.382089,0,-8.764177,376.721051,-2.182384,508.841886,506.676823,500.11235,1
3.689268,0,0.767299,-1.068675,-107.340385,95.158871,2.603272,0.917987,-5.374554,317.85384,-0.917987,323.893501,325.897484,322.975514,1
5.421319,0,1.415086,-0.905863,-210.975913,197.490165,0.618342,1.524205,-6.836405,479.913174,-0.762102,486.706277,489.170985,486.706277,1
5.577204,-0.796743,0,-2.39023,-25.293138,13.205155,3.186973,1.979734,-8.764177,185.608297,-1.593487,192.915819,192.915819,190.139342,1
6.668396,0.831384,0.691088,-5.145923,-136.21194,117.883378,-1.820385,3.746426,-10.702342,398.486001,-2.494153,407.932606,411.41576,409.174487,1
3.256256,0,-1.628128,0,-427.626024,378.453101,4.901704,0,-3.256256,501.636555,0,557.321988,545.890453,552.420285,1
10.23642,0,1.758032,0.736122,-25.525233,15.493194,-1.307698,1.163938,-8.928722,168.750246,0,172.183171,177.59583,175.106873,1
6.969772,-1.652376,-0.476314,-2.547847,-77.767349,63.297797,0.528275,-1.349268,-6.590453,1839.874434,-0.427817,1848.607435,1851.335415,1847.23565,1
5.733088,2.892525,-0.727461,-1.420282,-27.782095,17.666918,3.949076,2.909845,-8.660254,299.904597,-2.892525,306.694236,304.581135,303.108891,1
9.110587,0,0,0,-18.356274,-12.446517,9.110587,0.585433,-9.110587,13.849478,0,17.320508,26.431095,7.624488,1
9.612882,0,0,-1.922576,-50.229473,33.565413,-1.922576,0,-11.535458,190.402613,0,197.453792,207.066674,197.453792,1
6.20767,-0.855633,0.982073,-4.311074,-484.761184,470.878797,-2.707195,-0.374123,-7.598507,891.166121,-0.398372,901.019758,900.055006,899.689543,1
6.270024,0,-0.213042,1.034034,-17.436555,8.703555,8.568455,-2.511474,0.213042,101.553603,0,114.453917,103.339347,104.408023,1
6.651075,2.217025,-0.313501,-2.530526,-15.274956,5.835279,4.120549,2.217025,-8.554599,66.62853,-2.217025,76.69521,72.574661,78.912235,1
0,0,-0.48151,-0.48151,-46.283862,37.879951,-0.48151,0,0.48151,195.015065,0,204.381995,204.863505,204.381995,1
5.629165,4.052999,0.673768,-1.751103,-113.523806,102.017793,3.895382,-1.222828,-3.912703,362.007279,-3.221615,379.371088,365.03144,371.777778,1
5.317396,1.333679,0.446869,-4.853206,-35.19354,25.57373,0.429549,0.781155,-10.423482,270.930851,-1.991858,274.322207,275.243658,274.216552,1
9.595561,0,-0.46419,-5.93747,-50.042412,29.193716,0.904131,1.36832,-9.131372,179.989524,0,186.697757,192.652547,182.592796,1
2.805922,1.264397,0.853901,-1.413353,-249.134724,239.816291,-1.137957,0.632199,-3.417336,1456.594107,-0.656447,1464.968573,1465.948914,1464.111208,1
0,15.744342,-1.997055,13.747287,-22.095772,17.511034,-1.997055,0,17.741396,57.239083,0,50.073589,67.814985,65.817931,1
13.596599,2.909845,3.446781,-6.252703,-241.660925,219.305345,2.476833,3.486618,-13.163586,326.39285,-3.879794,336.017857,341.317932,336.411032,1
7.931061,-3.289164,-1.032302,-2.603272,-333.901291,316.43529,1.998787,-0.323894,-9.169477,5247.699987,-0.079674,5264.584018,5266.700584,5260.770042,1
7.737071,-2.419675,-0.597558,-2.85442,-1320.943352,1300.614272,2.208365,-0.833116,-9.621542,4233.887348,-0.294449,4252.144895,4254.595747,4247.492607,1
7.737071,-2.419675,-0.597558,-2.85442,-1320.94162,1300.614272,2.208365,-0.834848,-9.621542,4233.88908,-0.294449,4252.144895,4254.595747,4247.494339,1
11.189048,-7.188011,-3.245863,-4.85667,-20.557711,7.707626,-7.264221,-3.372303,-7.943185,166.108869,-0.796743,175.872439,182.322596,176.837191,1
4.035678,0,0.796743,0.796743,-57.053754,45.126852,2.424871,-0.814064,-3.238935,152.184912,-1.610807,156.80256,161.669622,155.191752,1
4.867063,-0.606218,1.001125,-1.423746,-107.86866,94.485104,1.001125,1.212436,-6.474406,535.61766,-0.606218,542.738121,543.572969,542.131903,1
2.979127,0,0.49017,-0.999393,-106.890051,97.064127,1.979734,0.744782,-4.21408,379.393605,-0.744782,384.515279,386.259454,383.770497,1
2.095781,0,-1.936433,-1.577898,-29.586892,20.264994,1.181259,0.717069,-1.198579,320.403419,1.075604,333.956716,329.281911,331.860935,1
8.608293,-0.710141,2.03516,-0.112583,-32.25425,18.106859,2.017839,0.912791,-8.495709,191.654886,0,198.163933,203.316784,199.416206,1
8.590972,7.361216,1.212436,-2.442192,-10.097856,-12.75309,9.820728,7.361216,-18.39438,49.96447,-7.361216,56.863228,55.650792,51.961524,1
5.594524,1.108513,-0.327358,-0.164545,-226.571298,207.354194,1.889667,0.491902,-4.158654,486.884678,0.654715,506.867348,507.083855,509.084373,1
0,5.767729,-1.058283,-0.530008,-37.046835,34.874843,-1.058283,0,1.058283,103.730791,0.528275,114.315353,114.845361,120.083082,1
5.594524,1.108513,-0.327358,-0.164545,-226.571298,207.354194,1.889667,0.491902,-4.158654,486.884678,0.654715,506.867348,507.083855,509.084373,1
0,5.767729,-1.058283,-0.530008,-37.046835,34.874843,-1.058283,0,1.058283,103.730791,0.528275,114.315353,114.845361,120.083082,1
5.594524,1.108513,-0.327358,-0.164545,-226.571298,207.354194,1.889667,0.491902,-4.158654,486.884678,0.654715,506.867348,507.083855,509.084373,1
0,5.767729,-1.058283,-0.530008,-37.046835,34.874843,-1.058283,0,1.058283,103.730791,0.528275,114.315353,114.845361,120.083082,1
2.73664,1.36832,-1.768424,-1.569238,-39.073334,28.270533,2.336537,0.601022,-2.336537,279.182341,0.800207,292.352856,291.185454,293.721176,1
0,5.767729,-1.058283,-0.530008,-37.046835,34.874843,-1.058283,0,1.058283,103.730791,0.528275,114.315353,114.845361,120.083082,1
6.789639,-3.39482,3.39482,-3.39482,-103.923048,86.453584,-3.39482,0,-10.184459,117.491934,0,128.17176,131.566579,128.17176,1
0,0,4.260845,0,-16.385201,9.89867,4.260845,0,0,60.128144,0,66.614674,58.092984,62.353829,1
4.122281,0,-0.254611,-1.622932,-46.51076,38.965947,1.113709,0,-3.867669,110.747329,0,116.047404,119.055976,117.415724,1
4.051267,-0.102191,2.632717,0.102191,-137.138587,125.580612,0.658179,1.066943,-4.607255,358.40981,-0.658179,364.906732,366.88127,365.053956,1
1.645448,1.645448,-0.632199,-2.277647,-10.57417,4.143066,0.181865,1.645448,-4.304146,132.323486,-1.645448,135.099963,137.37761,134.285899,1
6.980165,0.640859,-1.314627,-2.130422,-63.860713,54.306721,2.599808,0.723997,-6.981897,868.549002,-1.2159,885.978629,878.998464,878.168812,1
4.41673,0.883346,1.610807,-1.03923,-32.753081,25.959978,-1.922576,1.766692,-6.027537,249.307929,-0.883346,253.762764,253.035302,254.64611,1
3.464102,-0.34641,0.35507,-0.770763,-167.096138,158.707815,-0.251147,-0.315233,-3.992377,1014.491603,-0.173205,1018.532477,1020.862086,1017.80848,1
3.464102,-0.34641,0.370659,-0.755174,-167.111726,158.692227,-0.235559,-0.315233,-4.007966,1005.831349,-0.173205,1009.872223,1012.186243,1009.148226,1
15.519175,2.217025,4.43405,-17.7362,-526.543446,330.984517,-6.651075,0,-11.085125,355.648921,-2.217025,540.122724,537.905699,531.254624,1
12.557368,2.909845,2.445656,-7.201867,-242.630873,219.52878,2.445656,3.483154,-13.097768,328.303302,-3.862473,337.749907,343.999147,337.176599,1
3.464102,-0.34641,0.35507,-0.770763,-167.096138,158.707815,-0.251147,-0.315233,-3.992377,1014.491603,-0.173205,1018.532477,1020.862086,1017.80848,1
3.464102,-0.34641,0.370659,-0.755174,-167.111726,158.692227,-0.235559,-0.315233,-4.007966,1005.831349,-0.173205,1009.872223,1012.186243,1009.148226,1
7.248633,-2.485493,-0.410496,-2.409283,-1031.131415,1010.788478,2.53399,0.374123,-8.66545,4163.408468,-0.240755,4182.616912,4184.723086,4176.864771,1
2.024767,0.746514,1.385641,0.639127,-258.11714,246.247395,1.385641,0.403568,-1.662769,1691.136303,-0.554256,1702.067276,1699.295995,1700.193197,1
0.519615,1.593487,-0.536936,-0.976877,-85.42821,79.244789,0.536936,2.151207,-3.169653,476.30358,-1.513812,481.510125,481.950065,480.952404,1
9.301113,-2.04382,1.125833,-8.746857,-176.173816,157.188807,-7.361216,-1.361392,-8.954703,1131.096727,-0.848705,1139.360342,1139.741393,1138.712555,1
7.863511,-0,0.711873,-4.536241,-91.10414,74.537074,-3.670216,5.539098,-14.706843,277.677189,-3.481422,283.172987,291.20797,284.614053,1
8.244562,-2.06114,1.02191,-2.06114,-58.179587,30.570697,-1.03923,-1.02191,-10.305702,278.150039,0,293.409407,301.671289,293.426727,1
11.777945,1.385641,0.69282,-6.235383,-23.576676,6.169565,0,1.060015,-11.085125,193.903088,-2.771281,198.839433,203.689175,196.393777,1
12.921099,-3.585345,-0.710141,-4.295486,-579.784955,512.354485,-2.165064,-0.452065,-16.506444,722.78307,0,777.2578,789.503399,781.29521,1
7.239972,1.316359,0.140296,-3.80878,-136.866655,119.367746,-3.1506,3.600934,-8.696627,484.314315,-1.316359,496.267197,496.126901,493.982622,1
7.621024,0.69282,0.69282,-4.156922,-20.78461,10.428678,-0.69282,-0.69282,-10.392305,161.809918,-0.69282,167.316108,169.394569,164.544827,1
5.837011,0.969948,1.76496,-0.174937,-32.734028,23.954263,-1.144886,1.939897,-6.632023,245.152739,-0.969948,251.355213,249.607574,251.355213,1
4.43405,1.385641,0.512687,-0.024249,-40.720514,32.751349,2.192776,1.409889,-6.037929,296.650074,-2.494153,300.268328,302.526922,301.075464,1
0,0,-4.754479,-0.372391,-45.857777,36.373067,-2.554775,2.928898,0.372391,119.206665,0,131.635861,132.008252,130.889347,1
2.355589,-0.6755,-0.204382,-1.226292,-54.770911,48.327682,2.480297,0.277128,-2.480297,1259.883365,-0.658179,1266.752679,1263.943292,1263.773551,1
2.355589,-0.6755,-0.204382,-1.226292,-54.770911,48.327682,2.480297,0.277128,-2.480297,1259.883365,-0.658179,1266.752679,1263.943292,1263.773551,1
5.750409,0.571577,-2.407551,-2.39023,-36.045709,20.060612,4.486012,0.365463,-5.646486,513.797284,-1.143154,527.686599,528.985637,527.910034,1
-2.580756,0,0,-5.161511,-11.206369,-6.183421,10.323023,5.161511,-7.742267,14.566547,-2.580756,24.21407,11.310292,16.471803,1
2.857884,1.420282,-0.718801,-2.139083,-19.754039,8.852512,2.139083,2.857884,-4.996967,114.308425,-2.857884,119.494185,123.088191,119.511506,1
5.750409,0.571577,-2.407551,-2.39023,-36.045709,20.060612,4.486012,0.365463,-5.646486,513.797284,-1.143154,527.686599,528.985637,527.910034,1
2.73664,0,2.73664,0,-40.320411,31.433258,0,-2.253398,-2.73664,56.203317,0,62.353829,65.090469,59.133947,1
7.248633,-2.485493,-0.410496,-2.409283,-1031.131415,1010.788478,2.53399,0.374123,-8.66545,4163.408468,-0.240755,4182.616912,4184.723086,4176.864771,1
2.73664,0,2.73664,0,-40.320411,31.433258,0,-2.253398,-2.73664,56.203317,0,62.353829,65.090469,59.133947,1
9.595561,-2.39023,2.39023,0,-13.076984,-12.992113,9.612882,0,-9.595561,20.471108,0,24.924211,22.533981,17.701559,1
0,0,-4.754479,-0.372391,-49.321879,39.357391,-2.554775,2.928898,0.372391,120.458938,0,133.367912,133.740303,132.621398,1
5.750409,0.571577,-2.407551,-2.39023,-36.045709,20.060612,4.486012,0.365463,-5.646486,513.797284,-1.143154,527.686599,528.985637,527.910034,1
2.573828,-0.062354,1.247077,0.581969,-228.89571,217.488424,1.524205,0.379319,-2.494153,1725.015217,-0.744782,1735.594584,1733.135071,1733.161052,1
3.135012,-1.247077,1.669697,-0.109119,-58.110305,54.422768,-1.482635,-4.16385,-2.916774,209.415335,0.109119,213.042249,211.886971,212.200473,1
12.210958,1.402961,0.398372,-8.054036,-34.590787,20.391434,-1.489564,-4.48428,-3.221615,225.689684,-1.402961,235.801397,226.517605,227.156731,1
8.123318,-0.6755,0.6755,-4.052999,-32.908965,21.579621,0.6755,-4.052999,-7.447818,197.625265,0,199.480292,199.497612,196.778292,1
12.695932,2.927166,2.482029,-7.269417,-242.630873,218.939882,2.482029,3.498743,-13.238064,319.196179,-3.897114,329.089653,335.389122,328.518077,1
9.335754,4.676537,1.160474,-2.338269,-4.035678,-11.819515,4.659217,4.676537,-14.029612,55.314775,-4.676537,57.157677,64.172482,58.318151,1
3.221615,1.073872,0.892006,-0.181865,-27.530948,20.969939,0.892006,1.073872,-4.113621,204.142972,-1.073872,209.99384,206.954091,208.919968,1
6.408588,0.571577,2.805922,1.645448,-31.03835,25.727883,-0.69282,1.143154,-5.12687,348.391628,-0.571577,352.749467,351.155981,354.516159,1
8.244562,-8.244562,0,-4.122281,-27.297121,6.694376,12.366843,0,-20.611405,61.70431,0,74.062493,65.817931,65.817931,1
6.80696,4.537973,2.268987,-9.093267,-324.633087,229.08104,-6.82428,0.20265,-6.82428,419.819671,-2.268987,510.833745,506.295772,503.824135,1
3.914435,2.355589,0.545596,-3.351518,-80.999356,63.755058,2.901185,1.576166,-6.81562,192.766863,-2.355589,203.429367,204.459938,201.870522,1
4.41673,-2.217025,0.727461,-5.161511,-184.601975,170.288307,2.199705,1.472243,-4.41673,337.968146,-2.199705,344.175816,345.6827,348.609866,1
0.86949,0.065818,0,-0.065818,-171.793459,157.871235,0,-13.511728,-1.402961,1037.966087,-15.169301,1038.333282,1065.647723,1050.632575,1
0.316965,0.064086,0,-0.791547,-172.834422,158.841183,1.472243,-9.886546,-2.217025,1100.24717,-12.309685,1102.472856,1122.114312,1111.043043,1
11.189048,-7.188011,-3.238935,-4.849742,-20.552515,7.707626,-7.257293,-3.384427,-7.950113,166.127921,-0.796743,175.872439,182.315668,176.849316,1
7.84619,1.004589,0.460726,-2.812851,-67.78554,53.328112,0.928379,0.762102,-8.566723,751.458903,-0.502295,759.417677,761.260579,757.166011,1
3.550704,-0.588897,1.603879,-0.769031,-24.726757,13.525585,1.603879,-0.588897,-3.405212,200.528182,0,207.880738,205.705282,204.918931,1
11.189048,-7.188011,-3.238935,-4.849742,-20.552515,7.707626,-7.257293,-3.384427,-7.950113,166.127921,-0.796743,175.872439,182.315668,176.849316,1
12.903779,-5.369358,1.610807,-4.832422,-37.568182,17.228709,-0.536936,-1.073872,-12.366843,186.969689,0,187.962154,201.402868,192.25764,1
0,3.637307,3.637307,1.818653,-58.889727,47.458192,3.637307,5.45596,-3.637307,181.085912,-5.45596,187.061487,187.061487,187.061487,1
3.671948,-0.623538,0.505759,-1.330215,-108.014152,94.227028,2.965271,0.606218,-5.407463,443.706384,-0.606218,449.709672,453.516719,448.479916,1
1.661037,-0.08487,1.056551,-0.174937,-229.191891,217.658165,1.03923,0.12644,-2.355589,1625.792955,-0.779423,1636.699679,1633.824474,1634.409907,1
8.002075,-1.991858,0.987269,-1.991858,-58.144946,30.645175,-1.004589,-1.974538,-9.993933,281.37685,0,297.895418,303.940276,295.938201,1
6.408588,1.351,2.535722,1.617735,-117.734422,109.276818,-0.685892,0.450333,-2.518402,970.043715,-1.801333,983.060077,979.173355,985.363704,1
3.238935,-0.467654,-0.452065,-5.925346,-82.726211,72.555608,-4.03741,-0.363731,-7.58465,986.396007,-0.680696,994.301087,996.294677,994.313211,1
6.062178,0.866025,1.113709,-1.484368,-32.290623,24.248711,-2.350393,1.732051,-7.175886,293.830295,-0.866025,299.64479,299.397106,299.64479,1
3.775871,0.935307,0.769031,-0.166277,-28.481843,20.526534,-0.166277,1.870615,-4.544901,221.58992,-0.935307,227.03722,225.367523,226.101912,1
10.807997,-2.701999,-1.351,-4.052999,-24.629762,16.887495,1.351,-4.052999,-2.701999,79.830222,0,88.923488,87.572489,84.87049,1
10.600151,0,-1.766692,-1.766692,-29.410223,20.336009,0,-3.533384,-5.300075,141.683488,0,152.524394,154.291086,145.457627,1
0,0,0,0,-34.952785,1.558846,-31.488684,0,0,48.635987,0,19.052559,19.052559,19.052559,1
7.104872,-0.904131,0,-2.975663,-49.510672,34.968374,-0.796743,1.91738,-11.622061,259.412714,-1.541525,263.361789,268.85239,263.65797,1
5.715768,-0.571577,1.051355,-1.234952,-211.772656,196.321031,1.622932,1.143154,-7.338699,557.586992,-0.571577,564.076987,568.741399,563.50541,1
10.600151,0,-1.766692,-1.766692,-29.410223,20.336009,0,-3.533384,-5.300075,141.683488,0,152.524394,154.291086,145.457627,1
6.569669,-1.096388,-0.100459,-1.532865,-518.801178,505.538865,0.627002,-2.163331,-6.031001,1192.004294,-0.433013,1205.477917,1204.556466,1200.950336,1
