@relation 'spambase-weka.filters.unsupervised.attribute.Remove-R1-6,8-20,22-51,54-55,57'

@attribute word_freq_remove numeric
@attribute word_freq_your numeric
@attribute char_freq_! numeric
@attribute char_freq_$ numeric
@attribute capital_run_length_longest numeric
@attribute class {0,1}

@data
0.94,0.47,0.217,0,11,1
0,0.25,0.209,0.209,75,1
0,1.46,0.604,0.181,58,1
0,2.58,0.462,0.37,22,1
0,0.43,0.31,0.062,8,1
0,3.84,0.23,0.23,41,1
0.6,0,0,0,11,1
0.32,3.25,0,0.159,10,1
0,5.19,0,0.198,25,1
0,3.84,0.23,0.23,41,1
0.63,2.54,0.501,0.3,22,1
0,2.61,0.834,0.463,22,1
0,0.58,0,1.121,2042,1
0,0.43,0.31,0.062,8,1
0,0.23,0.406,0.038,67,1
0,2.58,0.462,0.37,22,1
0,0.43,0.31,0.062,8,1
0,1.46,0.604,0.181,58,1
0,0,0,0,10,1
0,3.84,0.23,0.23,41,1
0.32,3.25,0,0.158,10,1
0.06,1.09,0.01,0.167,12,1
0,5.26,0,0.201,25,1
0.45,0.45,0.063,0.127,46,1
1.16,0,0,0,1,1
1.25,0,0,0,1,1
0,0.17,0.107,0.017,489,1
0,0,5,0,1,1
0,1.94,2.443,0,8,1
0,1.19,1.018,0.036,97,1
0.32,3.25,0,0.158,10,1
0,0,0,0,1,1
0,1.19,1.018,0.036,97,1
1,2,0.11,0,62,1
0.05,1.3,0.102,0.259,8,1
0.32,3.24,0,0.157,10,1
0,0.67,0.332,0.11,12,1
0,0.17,0.107,0.017,489,1
0,0,0.802,0.114,20,1
0,0.2,0.831,0.338,2204,1
0,0,0.517,0.103,28,1
1.48,3.7,0.108,0,12,1
0,0,0.153,0,11,1
0,1.36,0.319,0.479,116,1
0.35,1.77,0.397,0,58,1
0,1.21,0,0,1,1
0,5.26,0,0.199,25,1
0,1.8,0.101,0.202,54,1
0,0.89,0,0,5,1
0.25,0.42,0.42,0.114,669,1
0,0.93,0.663,0,20,1
0.14,0,0.826,0.745,72,1
0,1.1,0.01,0.169,12,1
0,1.1,0.01,0.169,12,1
0,1.26,0.429,0.236,45,1
0.08,0.89,0.369,0.109,119,1
0,0.42,0.356,0.101,669,1
0.48,0.96,0.163,0,17,1
0,0,0,0,15,1
0,2.97,0.105,0.42,12,1
0.6,1.21,0.101,0.304,30,1
0,1.26,0.428,0.235,45,1
0,0,0.163,0.326,21,1
0.33,0.66,0.537,0,9,1
0.67,1.35,0.286,0,39,1
0,1.28,0.23,0.134,144,1
0,0.62,0,0,22,1
0.96,2.88,0.616,0,3,1
0.7,1.4,0.367,0.061,12,1
0,1.1,0.524,0,7,1
0,1.75,0,0,6,1
0,3.57,0.52,0,46,1
0.08,0.89,0.369,0.109,119,1
0,3.48,0.165,0.082,12,1
0,0.4,0.034,0.019,113,1
0,0,2.636,0.683,36,1
0.25,0.51,0.354,0,14,1
0.25,0.42,0.394,0.114,669,1
0.12,0.6,0.34,0,158,1
0,1.31,0.577,0.216,90,1
0,1.02,0.153,0.153,73,1
0.14,2.02,0.269,0.08,74,1
0.62,2.51,0.456,0.273,22,1
0.33,3.87,1.118,0.054,63,1
0.14,2,0.241,0.072,37,1
0,2.11,0.255,0.076,37,1
0,1.35,0.443,0.51,739,1
0,1.36,1.143,0.519,75,1
0,1.1,0.367,0.193,75,1
0.49,2.97,0.497,0.165,78,1
0,0,3.571,0,7,1
0.02,1.46,0.382,0.847,193,1
0,1.1,0.367,0.193,75,1
1.56,0,0.7,0,12,1
2.22,2.22,0.146,0,5,1
0.86,1.73,0.801,0,41,1
0,4.56,0,0,12,1
0.5,1.52,0.412,0.412,19,1
0,0,0.277,0,3,1
0.5,1.52,0.412,0.412,19,1
0,1.07,1.257,0,61,1
0,5.88,0,0,4,1
0,1.8,0.101,0.222,54,1
0,0,0.935,0,51,1
0.12,0.24,0.056,0.094,14,1
0,2.63,1.007,0,8,1
0,3.61,0.421,0.21,17,1
0,0,0.19,0.38,16,1
0,1.92,1.336,0,3,1
0,1.69,0.334,0.133,1171,1
0,0,0,3.125,10,1
0.13,0.27,0,0,20,1
0,1.25,0.777,0,61,1
0.26,0.52,0.369,0,104,1
0,1.12,0.373,0.196,75,1
0,0.73,0.041,0.041,69,1
0,0.73,0.041,0.041,69,1
0.31,2.51,0.89,0.046,138,1
0,1.03,0.8,0.177,12,1
0,2.88,0.084,0.336,12,1
0,6.45,0,0,1,1
0,4.48,0,0,12,1
0.35,0.17,0.057,0.171,34,1
0,0,0.251,0.251,12,1
0,0,0.186,0.186,23,1
0.42,0.42,0.187,0,74,1
0.45,0.45,0.203,0,72,1
1,0,0.176,0,20,1
0,0,1.385,0,169,1
0,0,0,0,4,1
0,0,0,0.389,16,1
0,1.38,0.486,0,11,1
0,2,0.141,3.305,193,1
0,0.95,0,0.04,55,1
0.09,1.56,0.341,0.085,103,1
0,0,0.546,0,9,1
0,0,2.631,0,5,1
0,0,5.844,0,5,1
0,0,1.081,0,9,1
0,0.64,0.574,0,30,1
0,3.73,0.536,0,23,1
0.64,3.24,0,0.156,19,1
0,0,0.191,0.383,23,1
0,0,3.448,0,11,1
0,0,0.191,0.383,23,1
0,0,0,0.053,32,1
0,1.32,0.291,0,3,1
0.2,1.23,0.816,0.065,45,1
0,0,4.347,0,1,1
0.1,0,0.016,0.065,29,1
0,1.8,0.902,0.225,47,1
0.09,1.66,0.318,0.151,494,1
0,6.66,0.396,0,11,1
0.1,1.72,0.297,0.156,494,1
0,2.22,1.096,0,107,1
0.25,0.42,0.394,0.114,669,1
0,0.77,0.26,0.173,16,1
1.05,1.05,0.171,0.171,6,1
0.1,0.61,0.518,0.162,283,1
0.1,1.72,0.297,0.156,494,1
0.44,0.44,0.19,0,72,1
0.1,1.66,0.611,0.264,69,1
0,0,0.422,0.634,17,1
0,0,0,0,11,1
0,1.56,0.111,0.111,6,1
0.11,2.05,0.492,0.338,87,1
0,1.35,0.478,0.509,611,1
0,0,0,0,16,1
0,0,0.408,0.408,25,1
0,2.41,0.084,0.761,46,1
0.25,0.42,0.394,0.114,669,1
0,1.14,0.264,0,93,1
0,2.5,0.233,0.233,25,1
0.31,0.31,0.13,0.173,60,1
0.06,0.94,1.06,0.151,123,1
0,1.18,0.843,0.129,42,1
0,0,0.919,0.367,16,1
0.16,1.64,0.507,0.493,133,1
0,0.43,0,0.151,33,1
0,2.65,0.093,0.466,60,1
0,2.03,0.556,0.069,1170,1
0,2.05,0.387,1.961,183,1
0,1.06,0.311,0,11,1
0.06,1.52,0.101,0.101,79,1
0,0,0.208,0.626,17,1
0.52,0,0.291,0,43,1
0,1.55,0.057,0,18,1
0,0.64,1.116,0.111,12,1
0,0.64,1.103,0.11,12,1
0.31,1.09,0.378,4.017,23,1
0.23,0.35,0.42,0.191,283,1
0,3.38,0.249,0.031,69,1
0,2.35,0.082,0.41,60,1
0,0.88,0.153,0.128,73,1
0,1.63,0.125,0,26,1
0,0.88,0.153,0.128,73,1
0.13,1.45,0.456,0.5,129,1
0,0.61,0.382,0.223,55,1
0,1.14,0.211,0.74,32,1
0,1.18,0.109,0.763,32,1
0,0,0.121,0.121,10,1
0.77,0.38,0.185,0.216,11,1
0,0,0.21,0.632,15,1
0,0,0.203,0.61,17,1
0.1,0,0.016,0.065,29,1
0.9,2.72,0.537,0,19,1
1.02,1.02,0,0.17,4,1
0.56,1.12,0.153,0,394,1
0,1.85,0.142,0.5,10,1
0,1.28,0.094,0.118,27,1
0,2.91,0,0,4,1
0,2.23,0.088,0.353,11,1
0,0,0,0,1,1
0,1.63,0.121,0,26,1
0,0,0,0,12,1
1.07,1.34,0.324,0,52,1
0.67,0.67,0,0.048,6,1
0.4,0.4,0.11,0,11,1
0,3.09,1.689,0.132,102,1
0.9,3.63,0.774,0,1,1
0,1.33,0.111,0,7,1
0,1.34,0.439,0.505,798,1
0,2.83,1.289,0.042,47,1
0,2.06,0.213,0.113,76,1
0.34,2.38,0.215,0,56,1
0,0.51,1.082,0.299,146,1
0,1.96,0,0.092,20,1
0,0.49,0.616,0,128,1
0,1.36,0.232,0.232,19,1
0.64,3.21,0,0.156,19,1
1.36,1.36,0.368,0,17,1
1.25,1.25,0.225,0,29,1
1.25,1.25,0.223,0,29,1
0,0,0,0,13,1
2.1,0,0,0,15,1
0,0.49,0,0,209,1
0.05,1.1,0.363,0.535,159,1
0,0,0.649,0,46,1
0,0,0.189,0.189,25,1
0,1.33,0.699,0,46,1
0.25,2.01,0.375,0.034,60,1
0,1.03,0.176,0.176,26,1
0.19,1.38,0.745,0.308,76,1
0.19,1.38,0.749,0.31,76,1
0.19,1.38,0.741,0.306,76,1
2.1,0,0,0,15,1
0,0,0,0.338,29,1
0.27,2.77,1.316,0.177,232,1
0,0,0.095,0.023,1505,1
0,3.27,0.242,0.03,69,1
0.27,2.65,1.294,0.182,232,1
0.19,1.38,0.749,0.31,76,1
0,0.28,0,0,772,1
0,1.45,0.125,0,5,1
0.23,1.89,0.072,0.108,20,1
0,0,0.277,0,13,1
0,1.51,0,0,15,1
1.08,1.08,0.334,0,5,1
0.56,1.36,0.574,0.134,94,1
0,0,1.255,0,21,1
0.11,0,0.034,0.12,14,1
0.76,0,0.274,0,110,1
0,1.71,0.388,0.236,164,1
0,1.88,0,0,16,1
1.28,0.64,0.085,0.17,18,1
0,0,3.333,0,12,1
0.9,2.72,0.546,0,19,1
0.05,1.5,0.322,0.626,193,1
0.79,2.76,0.612,0.183,13,1
0,0,0.192,0,10,1
0,3.8,1.718,0.055,63,1
0,2.58,0.359,0.403,56,1
0,1.86,0.321,0.107,30,1
0,0,0,0,42,1
0.84,0.84,0.519,0,43,1
0,1.43,0.132,0,16,1
0,3.38,0.246,0.03,69,1
0,1.25,0.265,0.132,144,1
0.44,2.2,0.433,0.361,16,1
0.5,0.7,0.474,0.152,669,1
0,1.25,0.265,0.132,144,1
0,1.51,0.438,0.585,153,1
0,0.9,2.115,0.07,14,1
0,1.12,0.392,0.176,75,1
0,1.88,0,0,16,1
0,0.63,1.096,0.109,12,1
0,0,0.218,0,11,1
0,0,0.125,0,37,1
0.47,0.94,0.218,0,6,1
0,1.47,0,0,15,1
0.19,1.75,0.404,0.224,49,1
0,2.47,0.113,0,4,1
0,0.89,0.19,0.247,19,1
1.37,0,0.206,0.309,69,1
0,0,0,0,51,1
0.36,2.95,0.414,0.888,33,1
0.62,1.25,0.77,0,11,1
0.4,2.03,0.928,0.384,56,1
0,1.63,0,0,1,1
0.03,1.47,0.452,0.528,260,1
0,1.49,0,0,15,1
0.17,0.71,0.167,0.027,149,1
0,0.97,1.065,0,61,1
0,2.83,1.294,0.043,47,1
0,1.29,0.531,0,121,1
0,1.5,0.127,0.182,131,1
1.27,3.82,0.983,0.089,59,1
0.44,2.2,0.43,0.358,16,1
0,1.26,0.472,0.472,19,1
2.94,4.41,0.425,0.141,279,1
0.57,1.14,0.072,0.289,114,1
1.78,0,1.344,0,16,1
4.08,0,0.257,0,26,1
2.94,4.41,0.427,0.142,274,1
0,2.17,1.149,0,33,1
0.13,0.52,0.366,0,149,1
1.94,1.94,0.52,0.13,26,1
0.86,0,0,0.063,30,1
0,3.08,0.669,0.297,82,1
0,1.3,0.477,0,121,1
0,2.67,1.336,0,51,1
0.66,0.99,0.406,0.464,43,1
0.94,0.94,0.163,1.305,20,1
1.1,1.1,0.435,0.062,190,1
0.33,2,0.372,0.159,14,1
0.15,0.6,0.352,0.02,149,1
0,0,0.396,0.099,11,1
1.04,2.09,0.621,0.062,59,1
0,0,0,0,1,1
0.14,0.84,0.583,0,132,1
0.04,1.54,0.308,0.672,193,1
0.7,1.4,0.23,0,60,1
0.61,0.92,0.728,0.182,60,1
0,0.28,0.046,0,6,1
0,1.4,0.897,0,121,1
0,2.01,0.337,0.054,79,1
0.13,1.44,0.022,0.022,107,1
0,1.29,1.098,0,36,1
0,1.24,0.246,0.894,70,1
0,0.68,0.902,0.106,1327,1
0.8,1.61,0.269,0,19,1
0,0,1.111,0,10,1
0,0.02,0.03,0,154,1
0.82,1.23,0.513,0.114,44,1
0,0,0.644,0.161,14,1
0.4,1.92,0.991,0.39,56,1
0,0.02,0.034,0,154,1
0,1.32,0.64,0.166,117,1
0,1.29,0.061,0,13,1
0,1.02,0.158,0.063,31,1
0,0.77,0.671,0,515,1
0,0.48,0.233,0.202,102,1
0.07,1.49,1.132,0.077,77,1
0.03,1.43,0.453,0.543,286,1
0.03,1.41,0.337,0.141,181,1
2.22,0,0,0.439,11,1
0.31,1.59,0.323,0,18,1
0,4.51,0,0,3,1
0,0,0.109,0,24,1
0,1.29,1.098,0,36,1
0,1.72,3.851,0,70,1
0.59,0,0.052,0.105,27,1
0.5,0.7,0.49,0.158,669,1
0.66,0.99,0.248,0.049,350,1
0,1.06,0.593,0.217,525,1
0.5,0.7,0.49,0.158,669,1
0.05,1.58,0.406,0.388,116,1
0.2,1.84,0.974,0.396,56,1
0,0,0,0,49,1
0,2.15,0.128,0,11,1
0.98,1.3,0.179,0.674,113,1
0.4,2.02,0.977,0.397,56,1
4,0,0,0,19,1
0.42,1.27,0.244,0.39,363,1
0.23,1.29,0.287,0.107,64,1
1.12,1.87,0.223,0.223,10,1
0.49,0.99,0.847,0.077,114,1
0.03,1.45,0.343,0.141,181,1
0,0.95,0.169,0.452,259,1
0,0.63,0.206,0.206,76,1
1.41,1.41,0.145,0.145,54,1
0.98,1.3,0.179,0.673,113,1
1.41,1.41,0.144,0.288,54,1
1.96,1.96,0.334,0,22,1
0.7,1.65,1.362,0.037,111,1
0.38,1.94,0.122,0,12,1
0.33,0.66,0.859,0.101,1146,1
0.32,0.65,0.858,0.101,1146,1
0.41,1.03,0.238,0.034,32,1
0.5,0.7,0.49,0.158,669,1
0.49,1.16,0.25,0.224,581,1
0.49,1.16,0.25,0.224,581,1
0,2.8,0.343,0.171,15,1
0,2.94,0.276,0.83,33,1
0.39,1.96,0.124,0,12,1
0,0,0,0,3,1
1.47,0.73,0.367,0.061,36,1
0,0.72,0.328,0,48,1
0.05,1.09,0.01,0.161,51,1
0,3.93,0.529,0.411,132,1
0.57,1.14,0.309,0.103,117,1
0.17,1.42,0.278,0.216,58,1
0,2.3,0.349,0,105,1
0.72,0,0.124,0.124,12,1
0,0.67,0.305,0,48,1
0,0,1.836,0,19,1
0.26,0.8,0,0.04,21,1
0,4.48,0,0,11,1
0.34,0.34,0.224,0.056,17,1
1.05,0.52,0,0,23,1
0.43,0,0.065,0,89,1
0.13,0,0.021,0,12,1
0.24,1.68,0.677,0.828,52,1
0.73,0.64,0.432,0.135,696,1
0,0,0,0,1,1
0.34,0.34,0.225,0.056,17,1
0.51,1.36,0.126,0,40,1
0.57,2.01,0.19,0,56,1
7.27,0,0.291,0,8,1
0.5,1.51,0.432,0.432,19,1
0.32,3.26,0.103,0,137,1
0.16,1.51,0.079,0.105,32,1
0.16,1.48,0.076,0.101,32,1
0.17,1.55,0.079,0.106,32,1
0.36,2.95,0.435,0.932,33,1
0.06,1.13,0.41,0.192,268,1
0,0.56,0.394,0,22,1
0.16,1.52,0.08,0.107,32,1
0.38,1.92,0.117,0,12,1
0,2.8,0,0,73,1
0,0.56,0.371,0.046,97,1
0,2.83,0,0,65,1
0.08,2.21,0.339,0.162,74,1
0.47,0.94,0.224,0,6,1
0,1.78,1.129,0.483,10,1
0.18,0.37,0,0.027,11,1
0.05,1.04,0.02,0.163,12,1
0,0,0.215,0,43,1
0.44,3.09,0.301,0,19,1
0.24,1.99,0.315,0.035,60,1
0,0,0.077,0,11,1
0,0.64,1.179,0.117,12,1
0.42,2.1,0.072,1.457,12,1
0,1.32,0.064,0.128,23,1
0.98,2.46,0,0,12,1
0.49,0.68,0.393,0.145,669,1
1.47,1.47,0,0.248,12,1
0,1.11,0.01,0.165,12,1
0,0,0,0,14,1
0,3.35,0.253,0.031,69,1
0.11,0,0.035,0.124,14,1
0.64,1.29,0.921,0.345,11,1
0,1.9,0.267,0,45,1
0.1,0,0.033,0.118,14,1
0,3.27,0.252,0.031,69,1
0,3.27,0.252,0.031,69,1
1.08,1.08,0.347,0,5,1
