@relation winequality-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0-weka.filters.unsupervised.instance.RemovePercentage-P90.0

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
7.6,0.3,0.25,4.3,0.054,22,111,0.9956,3.12,0.49,9.2,5
6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5
6.5,0.37,0.33,3.9,0.027,40,130,0.9906,3.28,0.39,12.7,7
6.8,0.18,0.46,1.4,0.064,37,160,0.9924,3.37,0.45,11.1,5
7.2,0.3,0.3,8.7,0.022,14,111,0.99576,3.11,0.61,10.6,5
6.8,0.34,0.27,5.2,0.06,14,169,0.99252,3.27,0.57,11.6,6
6.8,0.22,0.37,15.2,0.051,68,178,0.99935,3.4,0.85,9.3,6
7.8,0.3,0.37,1.3,0.051,16,96,0.9941,3.32,0.62,10,5
8.1,0.45,0.34,8.3,0.037,33,216,0.9976,3.31,0.64,9.7,5
5.6,0.19,0.39,1.1,0.043,17,67,0.9918,3.23,0.53,10.3,6
6.6,0.25,0.39,1.45,0.04,40,89,0.9911,3.35,0.4,11.4,7
6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,6
7.7,0.4,0.27,4.5,0.034,27,95,0.99175,3.21,0.59,12.3,8
6.5,0.2,0.5,18.1,0.054,50,221,0.99941,2.94,0.64,8.8,6
6.8,0.29,0.32,1.8,0.032,18,130,0.99095,3.05,0.62,11.2,6
6.8,0.17,0.36,1.4,0.036,38,108,0.99006,3.19,0.66,12,6
6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,6
7.4,0.4,0.41,14.1,0.053,37,194,0.99886,3.2,0.63,9.4,6
5.7,0.25,0.22,9.8,0.049,50,125,0.99571,3.2,0.45,10.1,6
6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,6
6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,5
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5
7.4,0.32,0.22,1.7,0.051,50,179,0.9955,3.28,0.69,8.9,5
7,0.12,0.28,6.3,0.057,17,103,0.9957,3.5,0.44,9.6,5
6.7,0.46,0.21,4,0.034,12,88,0.99016,3.26,0.54,13,6
7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,6
7.6,0.28,0.49,20.15,0.06,30,145,1.00196,3.01,0.44,8.5,5
7.6,0.39,0.32,3.6,0.035,22,93,0.99144,3.08,0.6,12.5,7
7.1,0.31,0.47,13.6,0.056,54,197,0.9978,3.1,0.49,9.3,5
5.8,0.315,0.27,1.55,0.026,15,70,0.98994,3.37,0.4,11.9,8
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6
6.7,0.33,0.49,1.6,0.167,20,94,0.9914,3.11,0.5,11.4,6
6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7
6.8,0.25,0.3,11.8,0.043,53,133,0.99524,3.03,0.58,10.4,6
6.2,0.21,0.28,5.7,0.028,45,121,0.99168,3.21,1.08,12.15,7
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5
7.1,0.38,0.29,13.6,0.041,30,137,0.99461,3.02,0.96,12.1,6
6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9,6
7.2,0.23,0.38,6.1,0.067,20,90,0.99496,3.17,0.79,9.7,5
7.6,0.2,0.39,2.6,0.044,30,180,0.9941,3.46,0.44,10.8,7
6.7,0.27,0.69,1.2,0.176,36,106,0.99288,2.96,0.43,9.2,6
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6
6.3,0.21,0.58,10,0.081,34,126,0.9962,2.95,0.46,8.9,5
6.4,0.3,0.27,4.4,0.055,17,135,0.9925,3.23,0.44,12.2,6
7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6
6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7
6.8,0.24,0.29,2,0.044,15,96,0.99232,3.23,0.64,10.4,8
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8
6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,5
6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,7
6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5
7.8,0.445,0.56,1,0.04,8,84,0.9938,3.25,0.43,10.8,5
6.8,0.24,0.37,7.45,0.043,59,188,0.99579,3.2,0.5,9.4,6
5.7,0.22,0.29,3.5,0.04,27,146,0.98999,3.17,0.36,12.1,6
7.5,0.26,0.3,4.6,0.027,29,92,0.99085,3.15,0.38,12,7
7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,6
7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,7
7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5
6.5,0.32,0.23,8.5,0.051,20,138,0.9943,3.03,0.42,10.7,5
6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,5
7.5,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2,5
7.6,0.19,0.37,13.1,0.033,52,151,0.99726,3.18,0.79,10.4,6
6.9,0.19,0.4,1.4,0.036,14,55,0.9909,3.08,0.68,11.5,7
6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,6
7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,6
6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,6
6.5,0.19,0.27,4.9,0.037,13,101,0.9916,3.17,0.41,11.8,6
6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,7
7.4,0.35,0.31,17.95,0.062,42,187,1.0002,3.27,0.64,9.1,5
6.8,0.26,0.34,13.9,0.034,39,134,0.9949,3.33,0.53,12,6
6.4,0.69,0.09,7.6,0.044,34,144,0.9948,3.26,0.38,10.1,6
7,0.2,0.37,2,0.03,26,136,0.9932,3.28,0.61,10.2,6
7.6,0.47,0.49,13,0.239,42,220,0.9988,2.96,0.51,9.2,5
6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5
7.4,0.39,0.23,7,0.033,29,126,0.994,3.14,0.42,10.5,5
7.9,0.35,0.36,1.6,0.038,11,124,0.9928,3.25,0.48,11,5
6.6,0.21,0.3,9.9,0.041,64,174,0.995,3.07,0.5,10.1,6
7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6
6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,5
7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6
6.4,0.4,0.25,4.2,0.032,15,91,0.98988,3.26,0.52,13.1,6
6.2,0.28,0.45,7.5,0.045,46,203,0.99573,3.26,0.46,9.2,6
6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,6
6.5,0.21,0.28,1.4,0.046,26,66,0.99199,3.43,0.48,11.1,6
7.4,0.27,0.28,1.8,0.04,45,121,0.99043,3.02,0.4,11.9,5
7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,5
7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,5
5.8,0.2,0.24,1.4,0.033,65,169,0.99043,3.59,0.56,12.3,7
6.9,0.26,0.49,1.6,0.058,39,166,0.9965,3.65,0.52,9.4,4
5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,5
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5
6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,12.6,6
8,0.24,0.3,17.45,0.056,43,184,0.9997,3.05,0.5,9.2,6
7.7,0.2,0.44,13.9,0.05,44,130,0.99855,3.11,0.48,10,6
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,5
6.8,0.26,0.48,6.2,0.049,55,182,0.99582,3.21,0.45,9.4,6
7.6,0.32,0.34,18.35,0.054,44,197,1.0008,3.22,0.55,9,5
6.3,0.34,0.29,6.2,0.046,29,227,0.9952,3.29,0.53,10.1,6
10.3,0.25,0.48,2.2,0.042,28,164,0.998,3.19,0.59,9.7,5
5.9,0.32,0.2,14.4,0.05,29,144,0.99666,3.24,0.41,10.3,6
6.7,0.22,0.37,1.6,0.028,24,102,0.9913,3.29,0.59,11.6,7
6.7,0.265,0.22,8.6,0.048,54,198,0.9955,3.25,0.41,10.2,5
6.6,0.33,0.41,2,0.027,14,79,0.99063,3.27,0.63,12.4,6
6.1,0.38,0.42,5,0.016,31,113,0.99007,3.15,0.31,12.4,7
7.1,0.85,0.49,8.7,0.028,40,184,0.9962,3.22,0.36,10.7,5
6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,5
7.7,0.31,0.23,2,0.069,29,134,0.99382,3.11,0.62,9.8,5
5.7,0.18,0.36,1.2,0.046,9,71,0.99199,3.7,0.68,10.9,7
6.9,0.13,0.28,13.3,0.05,47,132,0.99655,3.34,0.42,10.1,6
6.6,0.3,0.3,4.8,0.17,60,166,0.9946,3.18,0.47,9.4,5
6,0.2,0.24,1.8,0.03,30,105,0.9909,3.31,0.47,11.5,6
6.9,0.19,0.39,8,0.028,22,84,0.994,3.11,0.66,10.8,6
6.3,0.305,0.22,16,0.061,26,141,0.99824,3.08,0.5,9.1,5
7.2,0.25,0.19,8,0.044,51,172,0.9964,3.16,0.44,9.2,5
6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9,5
6.5,0.22,0.34,12,0.053,55,177,0.9983,3.52,0.44,9.9,6
6.1,0.3,0.32,2.2,0.042,41,142,0.98952,3.31,0.44,12.7,7
6.8,0.25,0.24,1.6,0.045,39,164,0.99402,3.53,0.58,10.8,5
8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5,5
6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,5
7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8,7
6.5,0.29,0.52,7.9,0.049,35,192,0.99551,3.16,0.51,9.5,6
6.9,0.25,0.29,2.4,0.038,28,76,0.99088,3.01,0.36,11.7,7
6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,7
6.7,0.26,0.49,8.3,0.047,54,191,0.9954,3.23,0.4,10.3,6
6.6,0.37,0.47,6.5,0.061,23,150,0.9954,3.14,0.45,9.6,6
6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,6
6.1,0.24,0.25,1.6,0.044,24,115,0.9921,3.39,0.59,10.9,6
6.6,0.25,0.31,12.4,0.059,52,181,0.9984,3.51,0.47,9.8,6
6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4,5
7.1,0.32,0.3,9.9,0.041,63,192,0.99642,3.12,0.49,10.2,6
5.6,0.2,0.66,10.2,0.043,78,175,0.9945,2.98,0.43,10.4,7
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5
6.4,0.25,0.28,4.9,0.03,29,98,0.99024,3.09,0.58,12.8,7
7.2,0.24,0.28,1.9,0.032,30,92,0.9914,3.1,0.39,10.9,6
7.6,0.2,0.68,12.9,0.042,56,160,0.99841,3.05,0.41,8.7,5
7.8,0.24,0.38,2.1,0.058,14,167,0.994,3.21,0.55,9.9,5
7.2,0.34,0.28,10.4,0.108,43,187,0.99738,2.96,0.57,9.4,5
7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7
5.8,0.15,0.32,1.2,0.037,14,119,0.99137,3.19,0.5,10.2,6
6.6,0.17,0.35,2.6,0.03,33,78,0.99146,3.22,0.72,11.3,6
8.5,0.23,0.34,1.3,0.035,54,110,0.99176,3.07,0.55,11,7
5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8
6.8,0.18,0.37,1.5,0.027,37,93,0.992,3.3,0.45,10.8,6
7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5
6.9,0.22,0.49,7,0.063,50,168,0.9957,3.54,0.5,10.3,6
14.2,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,6
5.9,0.445,0.26,1.4,0.027,23,109,0.99148,3.3,0.36,10.5,6
7.4,0.28,0.42,19.8,0.066,53,195,1,2.96,0.44,9.1,5
6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9,4
5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,5
6.7,0.29,0.49,4.7,0.034,35,156,0.9945,3.13,0.45,9.9,6
6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7
6.3,0.2,0.58,1.4,0.204,15,97,0.9931,3.16,0.43,10,6
6.8,0.2,0.38,4.7,0.04,27,103,0.994,3.37,0.58,10.7,6
6.3,0.29,0.28,4.7,0.059,28,81,0.99036,3.24,0.56,12.7,8
7,0.27,0.29,3.9,0.059,28,199,0.9961,3.54,0.59,10.3,5
6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,5
6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,6
7.6,0.23,0.4,5.2,0.066,14,91,0.99488,3.17,0.8,9.7,5
8.2,0.34,0.49,8,0.046,55,223,0.996,3.08,0.52,10.7,6
6.7,0.2,0.24,6.5,0.044,28,100,0.99348,3.12,0.33,10.2,6
7.2,0.26,0.74,13.6,0.05,56,162,0.998,3.03,0.44,8.8,5
7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1,7
7.2,0.43,0.24,6.7,0.058,40,163,0.995,3.2,0.41,9.9,5
6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7
6.5,0.25,0.32,9.9,0.045,41,128,0.99636,3.18,0.52,9.6,6
6.6,0.35,0.34,4.9,0.032,9,125,0.99253,3.32,0.81,12,5
6.7,0.31,0.44,6.7,0.054,29,160,0.9952,3.04,0.44,9.6,5
6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,6
6.8,0.21,0.62,6.4,0.041,7,113,0.99358,2.96,0.59,10.2,5
6.4,0.32,0.35,4.8,0.03,34,101,0.9912,3.36,0.6,12.5,8
7.2,0.2,0.31,10,0.054,49,165,0.997,3.4,0.42,9.9,6
7.4,0.2,0.35,2.1,0.038,30,116,0.9949,3.49,0.77,10.3,7
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,6
7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6
6,0.28,0.27,2.3,0.051,23,147,0.994,3.23,0.67,10.3,6
7.4,0.26,0.31,7.6,0.047,52,177,0.9962,3.13,0.45,8.9,6
6.2,0.21,0.52,6.5,0.047,28,123,0.99418,3.22,0.49,9.9,6
6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4,5
6.9,0.31,0.34,1.6,0.032,23,128,0.9917,3.37,0.47,11.7,6
7,0.24,0.51,11,0.029,55,227,0.9965,3.03,0.61,9.5,5
8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,5
6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,5
7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,6
6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,8
6.3,0.255,0.37,1.1,0.04,37,114,0.9905,3,0.39,10.9,6
7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,5
7.8,0.42,0.26,9.2,0.058,34,199,0.9972,3.14,0.55,9.3,6
6,0.17,0.29,5,0.028,25,108,0.99076,3.14,0.34,12.3,6
7.6,0.31,0.49,13.4,0.062,50,191,0.9989,3.22,0.53,9,4
6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9,7
7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,8
5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5
6.6,0.35,0.29,14.4,0.044,54,177,0.9991,3.17,0.58,8.9,6
6.1,0.24,0.26,1.7,0.033,61,134,0.9903,3.19,0.81,11.9,7
6.1,0.2,0.17,1.6,0.048,46,129,0.991,3.3,0.43,11.4,6
6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6
6.9,0.4,0.3,10.6,0.033,24,87,0.99265,3.15,0.45,12.8,6
7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,6
7.1,0.23,0.39,13.7,0.058,26,172,0.99755,2.9,0.46,9,6
6.6,0.21,0.29,1.8,0.026,35,128,0.99183,3.37,0.48,11.2,6
7.3,0.13,0.27,4.6,0.08,34,172,0.9938,3.23,0.39,11.1,7
6.2,0.36,0.38,3.2,0.031,20,89,0.98956,3.06,0.33,12,7
6.9,0.45,0.27,4.7,0.035,17,80,0.99058,3.12,0.36,12.5,7
6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2,5
6,0.26,0.15,1.3,0.06,51,154,0.99354,3.14,0.51,8.7,5
6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6
6.3,0.28,0.24,8.45,0.031,32,172,0.9958,3.39,0.57,9.7,7
6.7,0.19,0.32,3.7,0.041,26,76,0.99173,2.9,0.57,10.5,7
8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,6
6.5,0.46,0.41,16.8,0.084,59,222,0.9993,3.18,0.58,9,5
5.2,0.38,0.26,7.7,0.053,20,103,0.9925,3.27,0.45,12.2,6
7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,6
7.5,0.28,0.33,7.7,0.048,42,180,0.9974,3.37,0.59,10.1,6
8.8,0.2,0.43,15,0.053,60,184,1.0008,3.28,0.79,8.8,6
6.4,0.14,0.28,7.9,0.057,21,82,0.99425,3.26,0.36,10,6
6.8,0.25,0.24,4.55,0.053,41,211,0.9955,3.37,0.67,9.5,6
7.4,0.32,0.22,11.7,0.035,44,150,0.99578,3.1,0.45,10.4,5
6.6,0.25,0.32,5.6,0.039,15,68,0.99163,2.96,0.52,11.1,6
8.4,0.2,0.27,6.3,0.048,30,143,0.9966,3.25,0.5,9.1,6
6.6,0.38,0.28,2.8,0.043,17,67,0.98924,3.21,0.47,13.2,6
7.8,0.2,0.28,10.2,0.054,78,186,0.997,3.14,0.46,10,6
8.9,0.34,0.32,1.3,0.041,12,188,0.9953,3.17,0.49,9.5,5
7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,6
5.8,0.36,0.5,1,0.127,63,178,0.99212,3.1,0.45,9.7,5
6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5
8,0.2,0.3,8.1,0.037,42,130,0.99379,3.1,0.67,11.8,6
6.7,0.26,0.29,7.1,0.036,28,100,0.99534,3.08,0.36,9.3,6
7,0.15,0.38,15.3,0.045,54,120,0.9975,3.18,0.42,9.8,6
6.5,0.34,0.46,1,0.023,6,80,0.98865,3.15,0.54,12.9,6
6.8,0.32,0.3,1,0.049,22,113,0.99289,3.24,0.61,10.2,5
6.9,0.22,0.28,7.8,0.05,43,116,0.99326,3.22,0.6,11.5,8
7,0.26,0.46,15.55,0.037,61,171,0.9986,2.94,0.35,8.8,6
7.3,0.155,0.49,1.3,0.039,34,136,0.9926,3.14,0.77,10.5,6
7,0.29,0.37,4.9,0.034,26,127,0.9928,3.17,0.44,10.8,6
5.8,0.2,0.34,1,0.035,40,86,0.98993,3.5,0.42,11.7,5
6.5,0.26,0.34,16.3,0.051,56,197,1.0004,3.49,0.42,9.8,5
5.9,0.36,0.41,1.3,0.047,45,104,0.9917,3.33,0.51,10.6,6
