@relation winequality-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0-weka.filters.unsupervised.instance.RemovePercentage-P60.0

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
6.7,0.46,0.27,5.2,0.039,35,96,0.99129,3.16,0.44,12.4,7
6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,6
5.7,0.21,0.32,1.6,0.03,33,122,0.99044,3.33,0.52,11.9,6
6.3,0.24,0.22,11.9,0.05,65,179,0.99659,3.06,0.58,9.3,6
8.4,0.23,0.32,1.3,0.048,59,113,0.99178,3.1,0.55,11,6
6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8
6,0.2,0.32,3,0.031,26,118,0.99134,3.38,0.68,11.2,7
7,0.21,0.22,5.1,0.048,38,168,0.9945,3.34,0.49,10.4,6
5.5,0.31,0.29,3,0.027,16,102,0.99067,3.23,0.56,11.2,6
7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,6
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
7.6,0.2,0.36,1.9,0.043,24,111,0.99237,3.29,0.54,11.3,6
7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,7
6,0.27,0.32,3.6,0.035,36,133,0.99215,3.23,0.46,10.8,6
6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2,5
7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8,5
6.6,0.25,0.25,1.3,0.04,28,85,0.98984,2.87,0.48,11.2,6
7.3,0.26,0.3,9.3,0.05,35,154,0.99581,3.21,0.5,10.4,6
6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,5
7.3,0.29,0.3,13,0.043,46,238,0.9986,3.06,0.41,8.7,6
6.5,0.33,0.38,8.3,0.048,68,174,0.99492,3.14,0.5,9.6,5
6.6,0.62,0.2,8.7,0.046,81,224,0.99605,3.17,0.44,9.3,5
6.8,0.26,0.43,11.75,0.045,53,198,0.9969,3.26,0.55,9.5,5
6.3,0.26,0.25,5.2,0.046,11,133,0.99202,2.97,0.68,11,6
5.9,0.26,0.29,5.4,0.046,34,116,0.99224,3.24,0.41,11.4,6
7.6,0.28,0.39,1.2,0.038,21,115,0.994,3.16,0.67,10,6
6.4,0.16,0.28,2.2,0.042,33,93,0.9914,3.31,0.43,11.1,6
6.7,0.25,0.34,12.85,0.048,30,161,0.9986,3.44,0.47,9.5,6
7.5,0.2,0.47,16.9,0.052,51,188,0.99944,3.09,0.62,9.3,5
7.4,0.24,0.26,1.6,0.058,53,150,0.9936,3.18,0.5,9.9,7
8.5,0.18,0.3,1.1,0.028,34,95,0.99272,2.83,0.36,10,4
6.1,0.28,0.23,4.2,0.038,13,95,0.98898,2.97,0.7,13.1,6
6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,7
8,0.22,0.32,10.4,0.043,63,201,0.997,3.11,0.53,9.5,6
6.5,0.26,0.74,13.3,0.044,68,224,0.9972,3.18,0.54,9.5,6
7,0.14,0.28,1.3,0.026,10,56,0.99352,3.46,0.45,9.9,5
7,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,6
6.4,0.37,0.12,5.9,0.056,6,91,0.99536,3.06,0.46,8.4,4
6.5,0.36,0.16,1.3,0.054,11,107,0.99398,3.19,0.39,8.5,5
5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,8
5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,6
7,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,8
7.1,0.29,0.3,16,0.036,58,201,0.99954,3.3,0.67,9,5
8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,6
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6
6.3,0.32,0.32,1.5,0.037,12,76,0.98993,3.3,0.46,12.3,6
7,0.24,0.47,1.3,0.043,18,131,0.99176,3.19,0.45,11,6
6.9,0.29,0.3,8.2,0.026,35,112,0.99144,3,0.37,12.3,6
6.9,0.23,0.34,2.7,0.032,24,121,0.9902,3.14,0.38,12.4,7
5.6,0.225,0.24,9.8,0.054,59,140,0.99545,3.17,0.39,10.2,6
5.2,0.37,0.33,1.2,0.028,13,81,0.9902,3.37,0.38,11.7,6
6,0.2,0.71,1.6,0.15,10,54,0.9927,3.12,0.47,9.8,5
7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4,6
5.7,0.31,0.28,4.1,0.03,22,86,0.99062,3.31,0.38,11.7,7
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6
7.6,0.54,0.23,2,0.029,13,151,0.9931,3.04,0.33,10.4,5
8.2,0.18,0.38,1.1,0.04,41,92,0.99062,2.88,0.6,12,6
7,0.25,0.45,2.3,0.045,40,118,0.99064,3.16,0.48,11.9,7
6.8,0.21,0.27,2.1,0.03,26,139,0.99,3.16,0.61,12.6,7
5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6
6.4,0.24,0.22,1.5,0.038,38,157,0.9934,3.41,0.55,9.9,6
9.7,0.24,0.49,4.9,0.032,3,18,0.99368,2.85,0.54,10,6
6.8,0.22,0.32,5.9,0.054,40,152,0.9938,3.2,0.57,10.8,6
7.4,0.22,0.28,9,0.046,22,121,0.99468,3.1,0.55,10.8,5
5.8,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5
8.1,0.4,0.32,7.9,0.031,23,118,0.99176,3.05,0.46,13.3,7
5.7,0.37,0.3,1.1,0.029,24,88,0.98883,3.18,0.39,11.7,6
7.4,0.18,0.42,2.1,0.036,33,187,0.9938,3.4,0.41,10.6,7
7.5,0.24,0.62,10.6,0.045,51,153,0.99779,3.16,0.44,8.8,5
6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,7
7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,7
7,0.12,0.32,7.2,0.058,22,89,0.9966,3.29,0.38,9.2,6
6.5,0.28,0.26,8.8,0.04,44,139,0.9956,3.32,0.37,10.2,6
7,0.16,0.26,6.85,0.047,30,220,0.99622,3.38,0.58,10.1,6
6.1,0.45,0.27,0.8,0.039,13,82,0.9927,3.23,0.32,9.5,5
7.2,0.24,0.3,1.6,0.048,27,131,0.9933,3.25,0.45,10.5,5
7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5,8
7.3,0.23,0.24,0.9,0.031,29,86,0.98926,2.9,0.38,12.2,6
8.5,0.26,0.21,16.2,0.074,41,197,0.998,3.02,0.5,9.8,3
7,0.57,0.1,8.3,0.094,23,188,0.9972,3.4,0.47,9.2,4
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6
7.3,0.17,0.36,8.2,0.028,44,111,0.99272,3.14,0.41,12.4,6
8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4,5
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5
6,0.26,0.33,4.35,0.04,15,80,0.98934,3.29,0.5,12.7,6
7.3,0.34,0.3,9.4,0.057,34,178,0.99554,3.15,0.44,10.4,6
6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,6
6.8,0.12,0.31,5.2,0.045,29,120,0.9942,3.41,0.46,9.8,7
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
7.4,0.32,0.27,1.4,0.049,38,173,0.99335,3.03,0.52,9.3,5
7.8,0.17,0.5,1.3,0.045,35,140,0.9904,3.16,0.4,12,6
5.8,0.15,0.31,5.9,0.036,7,73,0.99152,3.2,0.43,11.9,6
8,0.27,0.33,1.2,0.05,41,103,0.99002,3,0.45,12.4,6
6.5,0.29,0.52,7.9,0.049,35,192,0.99551,3.16,0.51,9.5,6
7.6,0.18,0.46,10.2,0.055,58,135,0.9968,3.14,0.43,9.9,6
6.9,0.17,0.3,2,0.047,13,117,0.99152,3.16,0.51,11.6,6
6.6,0.26,0.29,1.4,0.039,13,67,0.9915,3.05,0.49,10.9,6
6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6
6.9,0.19,0.6,4,0.037,6,122,0.99255,2.92,0.59,10.4,4
6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5
6.4,0.32,0.25,5,0.055,28,138,0.99171,3.27,0.5,12.4,8
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
5.8,0.335,0.14,5.8,0.046,49,197,0.9937,3.3,0.71,10.3,5
7.8,0.28,0.22,1.4,0.056,24,130,0.9944,3.28,0.48,9.5,5
6.4,0.24,0.32,0.95,0.041,23,131,0.99033,3.25,0.35,11.8,5
7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6
7.1,0.18,0.49,1.3,0.033,12,72,0.99072,3.05,0.53,11.3,7
8,0.42,0.36,5,0.037,34,101,0.992,3.13,0.57,12.3,7
7.3,0.19,0.27,1.6,0.027,35,136,0.99248,3.38,0.54,11,7
7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,7
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5
6.6,0.25,0.31,1.5,0.035,32,127,0.9921,3.41,0.47,11.3,6
7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9,7
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5
7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6
7.5,0.34,0.24,3.85,0.031,5,34,0.99098,3.01,0.36,11.8,4
7,0.25,0.33,2.1,0.021,17,76,0.99021,3.26,0.45,12.3,6
6.8,0.19,0.32,7.05,0.019,54,188,0.9935,3.25,0.37,11.1,8
6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,5
6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,5
6,0.495,0.27,5,0.157,17,129,0.99396,3.03,0.36,9.3,5
6.4,0.15,0.36,1.8,0.034,43,150,0.9922,3.42,0.69,11,8
5.2,0.17,0.27,0.7,0.03,11,68,0.99218,3.3,0.41,9.8,5
8.3,0.28,0.4,7.8,0.041,38,194,0.9976,3.34,0.51,9.6,6
6.5,0.28,0.28,20.4,0.041,40,144,1.0002,3.14,0.38,8.7,5
8.2,0.22,0.36,6.8,0.034,12,90,0.9944,3.01,0.38,10.5,8
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6
7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,6
9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5
6.5,0.19,0.32,1.4,0.04,31,132,0.9922,3.36,0.54,10.8,7
6.5,0.23,0.2,7.5,0.05,44,179,0.99504,3.18,0.48,9.533333,5
6,0.52,0.33,7.7,0.046,24,119,0.99224,3.04,0.38,11,6
6,0.2,0.26,1.1,0.033,38,67,0.98954,3.14,0.38,11.5,6
7.5,0.13,0.38,1.1,0.023,42,104,0.99112,3.28,0.53,11.8,6
6.4,0.33,0.24,9.8,0.041,29,109,0.9956,3.29,0.47,10.1,6
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
6.4,0.12,0.3,1.1,0.031,37,94,0.98986,3.01,0.56,11.7,6
7.8,0.24,0.18,6.7,0.046,33,160,0.9963,3.2,0.56,9.8,6
6.8,0.22,0.41,6.7,0.034,39,116,0.99245,3.18,0.46,11.5,6
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5
6.6,0.32,0.33,2.5,0.052,40,210,0.99316,3.15,0.6,10,5
5.1,0.26,0.34,6.4,0.034,26,99,0.99449,3.23,0.41,9.2,6
6.7,0.34,0.31,16.4,0.051,20,146,0.99834,3.06,0.54,9.1,5
6.6,0.26,0.25,11.6,0.045,45,178,0.99691,3.33,0.43,9.8,6
6.6,0.32,0.34,7.7,0.044,63,212,0.99526,3.22,0.48,9.7,6
6.8,0.21,0.26,11.7,0.038,61,152,0.99523,3.02,0.56,10.5,7
6,0.28,0.52,6.2,0.028,37,104,0.99161,3.28,0.51,11.8,7
5.8,0.29,0.27,1.6,0.062,17,140,0.99138,3.23,0.35,11.1,6
7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,5
7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6
6.2,0.27,0.26,12.1,0.046,43,127,0.9951,3.16,0.37,10.8,6
6.3,0.23,0.33,6.9,0.052,23,118,0.9938,3.23,0.46,10.4,6
5.7,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5
7,0.32,0.27,7.1,0.027,37,122,0.99165,3.15,0.6,12.6,7
7.3,0.2,0.39,2.3,0.048,24,87,0.99044,2.94,0.35,12,6
6.5,0.19,0.34,1.6,0.029,39,116,0.98954,3.21,0.68,12.5,6
6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,7
8.3,0.23,0.43,3.2,0.035,14,101,0.9928,3.15,0.36,11.5,5
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,5
6.1,0.17,0.28,2.5,0.028,22,98,0.99072,3.16,0.37,11.1,7
6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7
8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5
7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,6
6.5,0.14,0.32,2.7,0.037,18,89,0.9924,3.4,0.74,11.5,7
6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,6
7.8,0.34,0.35,1.8,0.042,8,167,0.9908,3.11,0.41,12.1,6
7.7,0.43,1,19.95,0.032,42,164,0.99742,3.29,0.5,12,6
7.9,0.29,0.31,7.35,0.034,37,154,0.9938,3.06,0.31,10.8,5
6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,6
5.9,0.34,0.3,3.8,0.035,57,135,0.99016,3.09,0.34,12,6
7.1,0.19,0.28,3.6,0.033,16,78,0.993,2.91,0.78,11.4,6
7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5
5.9,0.2,0.28,12.8,0.038,29,132,0.99426,3.31,0.57,11.8,7
7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,6
7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5
6,0.29,0.2,12.6,0.045,45,187,0.9972,3.33,0.42,9.5,5
6.6,0.32,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,10.4,6
6.4,0.26,0.3,2.2,0.025,33,134,0.992,3.21,0.47,10.6,6
6,0.11,0.47,10.6,0.052,69,148,0.9958,2.91,0.34,9.3,4
6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,6
5.8,0.3,0.23,1.5,0.034,37,121,0.98871,2.96,0.34,12.1,6
6.5,0.35,0.38,7.4,0.036,20,196,0.99712,3.47,0.48,9.1,6
6.4,0.23,0.26,8.1,0.054,47,181,0.9954,3.12,0.49,9.4,5
7.5,0.17,0.37,1.5,0.06,18,75,0.9936,3.54,0.88,10.7,5
6,0.29,0.25,1.4,0.033,30,114,0.98794,3.08,0.43,13.2,6
7.2,0.4,0.38,2.2,0.03,40,109,0.99075,3.27,0.46,12.6,6
5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,8
7.3,0.36,0.62,7.1,0.033,48,185,0.99472,3.14,0.62,10.6,6
6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7
6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10,5
5.8,0.19,0.24,1.3,0.044,38,128,0.99362,3.77,0.6,10.6,5
7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7
7.4,0.28,0.36,1.1,0.028,42,105,0.9893,2.99,0.39,12.4,7
7.3,0.32,0.29,1.5,0.038,32,144,0.99296,3.2,0.55,10.8,5
6,0.41,0.23,1.1,0.066,22,148,0.99266,3.3,0.47,9.633333,5
7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,5
6.8,0.24,0.34,2.7,0.047,64.5,218.5,0.9934,3.3,0.58,9.7,6
5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,5
6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3,5
6.9,0.26,0.38,10.5,0.044,33,139,0.99517,3.06,0.5,10.3,6
6.6,0.26,0.28,9.4,0.028,13,121,0.99254,3.17,0.34,12.1,6
6.2,0.21,0.24,1.2,0.051,31,95,0.99036,3.24,0.57,11.3,6
5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8,5
7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,8
7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,6
5.9,0.18,0.29,4.6,0.032,68,137,0.99159,3.21,0.38,11.3,6
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6
6.9,0.28,0.3,8.3,0.026,37,113,0.99139,2.99,0.38,12.3,8
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5
6.7,0.41,0.24,5.4,0.035,33,115,0.9901,3.12,0.44,12.893333,7
6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,6
6.5,0.24,0.19,1.2,0.041,30,111,0.99254,2.99,0.46,9.4,6
6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,5
7.7,0.32,0.48,2.3,0.04,28,114,0.9911,3.2,0.52,12.8,7
6.8,0.17,0.74,2.4,0.053,61,182,0.9953,3.63,0.76,10.5,6
6,0.34,0.32,3.8,0.044,13,116,0.99108,3.39,0.44,11.8,7
6.2,0.35,0.2,18.1,0.069,33,158,0.99908,3.15,0.5,8.8,6
8.1,0.27,0.35,1.7,0.03,38,103,0.99255,3.22,0.63,10.4,8
7.7,0.3,0.23,2,0.068,28,138,0.99382,3.11,0.62,9.8,5
6.9,0.32,0.17,7.6,0.042,69,219,0.9959,3.13,0.4,8.9,5
6.1,0.22,0.31,1.4,0.039,40,129,0.99193,3.45,0.59,10.9,5
7.4,0.25,0.37,6.9,0.02,14,93,0.9939,3,0.48,10.7,7
6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,6
6.6,0.32,0.27,10.9,0.041,37,146,0.9963,3.24,0.47,10,5
6.2,0.21,0.29,1.6,0.039,24,92,0.99114,3.27,0.5,11.2,6
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8
6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,6
7.6,0.36,0.44,8.3,0.255,28,142,0.9958,3.12,0.43,10.2,6
7.2,0.32,0.24,5.6,0.033,23,120,0.99334,2.92,0.66,10.3,7
6.4,0.43,0.27,1.1,0.054,5,110,0.9939,3.24,0.52,9.1,4
8.3,0.36,0.57,15,0.052,35,256,1.0001,2.93,0.64,8.6,5
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5
7.5,0.2,0.41,1.2,0.05,26,131,0.99133,3.19,0.52,11.1,5
7.6,0.18,0.49,18.05,0.046,36,158,0.9996,3.06,0.41,9.2,5
6.9,0.38,0.28,8.3,0.062,22,166,0.99506,3.16,0.72,10.6,5
6.5,0.18,0.33,1.4,0.029,35,138,0.99114,3.36,0.6,11.5,7
6.5,0.5,0.22,4.1,0.036,35,131,0.9902,3.26,0.55,13,7
5.7,0.27,0.16,9,0.053,32,111,0.99474,3.36,0.37,10.4,6
5.7,0.24,0.47,6.3,0.069,35,182,0.99391,3.11,0.46,9.733333,5
6.6,0.27,0.31,5.3,0.137,35,163,0.9951,3.2,0.38,9.3,5
6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,7
6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6
8.1,0.26,0.3,7.8,0.049,39,152,0.9954,2.99,0.58,10,6
7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,6
7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5
7.5,0.17,0.44,11.3,0.046,65,146,0.997,3.17,0.45,10,6
7.6,0.2,0.26,4.8,0.033,26,76,0.99076,2.98,0.49,12.3,7
4.8,0.13,0.32,1.2,0.042,40,98,0.9898,3.42,0.64,11.8,7
6.4,0.13,0.28,0.9,0.045,32,87,0.99175,3.47,0.52,11.2,6
5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.633333,6
7.4,0.21,0.27,7.3,0.031,41,144,0.9932,3.15,0.38,11.8,7
6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,6
6.4,0.4,0.19,3.2,0.033,28,124,0.9904,3.22,0.54,12.7,7
8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,5
7.7,0.26,0.4,1.1,0.042,9,60,0.9915,2.89,0.5,10.6,5
6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,5
6.9,0.3,0.3,1.3,0.053,24,186,0.99361,3.29,0.54,9.9,4
7.7,0.46,0.18,3.3,0.054,18,143,0.99392,3.12,0.51,10.8,6
6.5,0.21,0.42,1.1,0.059,33,101,0.9927,3.12,0.38,9.7,6
7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,6
7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6
7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6
6.8,0.23,0.29,12.2,0.035,38,236,0.9976,3.35,0.52,9.8,6
7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4,5
6.4,0.42,0.74,12.8,0.076,48,209,0.9978,3.12,0.58,9,6
5.1,0.26,0.33,1.1,0.027,46,113,0.98946,3.35,0.43,11.4,7
7.2,0.28,0.3,10.7,0.044,61,222,0.9972,3.14,0.5,9.1,6
6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6
6.4,0.1,0.35,4.9,0.048,31,103,0.9947,3.43,0.79,9.7,6
7.4,0.2,0.35,6.1,0.025,10,40,0.99244,2.79,0.52,10.9,5
8.2,0.52,0.34,1.2,0.042,18,167,0.99366,3.24,0.39,10.6,5
6.9,0.15,0.29,2.3,0.033,14,82,0.99132,3.1,0.58,11.2,7
5.1,0.305,0.13,1.75,0.036,17,73,0.99,3.4,0.51,12.333333,5
6.6,0.16,0.34,1.1,0.037,41,115,0.9899,3.01,0.68,12,6
6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5
