@relation winequality-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0-weka.filters.unsupervised.instance.RemovePercentage-P80.0

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
5.9,0.37,0.32,1.6,0.029,41,102,0.98916,3.41,0.55,12.7,7
6.3,0.22,0.3,2,0.05,23,120,0.99204,3.24,0.47,10.4,6
6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6
6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8,6
6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,8
6.1,0.24,0.27,9.8,0.062,33,152,0.9966,3.31,0.47,9.5,6
6.9,0.35,0.74,1,0.044,18,132,0.992,3.13,0.55,10.2,5
6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,5
7,0.33,0.28,5.7,0.033,39,204,0.99176,3.17,0.64,12.5,6
6.5,0.26,0.32,16.5,0.045,44,166,1,3.38,0.46,9.5,6
5.2,0.5,0.18,2,0.036,23,129,0.98949,3.36,0.77,13.4,7
6,0.23,0.34,1.3,0.025,23,111,0.98961,3.36,0.37,12.7,6
7.8,0.15,0.24,7.7,0.047,21,98,0.9951,2.94,0.31,9.6,6
5.9,0.12,0.27,4.8,0.03,40,110,0.99226,3.55,0.68,12.1,6
7.7,0.26,0.34,6.4,0.05,36,163,0.9937,3.19,0.7,11.5,6
7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,5
8.1,0.26,0.37,1.9,0.072,48,159,0.9949,3.37,0.7,10.9,6
5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,7
6.8,0.33,0.31,7.4,0.045,34,143,0.99226,3.06,0.55,12.2,6
5.3,0.4,0.25,3.9,0.031,45,130,0.99072,3.31,0.58,11.75,7
8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,5
6,0.32,0.33,9.9,0.032,22,90,0.99258,3.1,0.43,12.1,7
6.5,0.36,0.28,3.2,0.037,29,119,0.9908,3.25,0.65,12.4,8
7.4,0.29,0.31,1.7,0.035,23,110,0.9926,3.07,0.38,10.9,5
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5
6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,5
6,0.26,0.26,2.2,0.035,10,72,0.989465,3.11,0.48,12.15,6
4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,5
5.9,0.37,0.3,1.5,0.033,35,95,0.98986,3.36,0.56,12,7
7.9,0.18,0.33,1.2,0.033,20,72,0.9922,3.12,0.38,10.5,7
8.3,0.18,0.3,1.1,0.033,20,57,0.99109,3.02,0.51,11,6
6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,5
6.3,0.24,0.55,8.1,0.04,67,216,0.99596,3.24,0.5,9.2,5
6.2,0.2,0.49,1.6,0.065,17,143,0.9937,3.22,0.52,9.2,6
8.2,0.31,0.43,7,0.047,18,87,0.99628,3.23,0.64,10.6,5
8.9,0.27,0.34,10.7,0.029,19.5,166,0.99669,3.13,0.48,10.6,5
5.8,0.14,0.15,6.1,0.042,27,123,0.99362,3.06,0.6,9.9,6
6.6,0.31,0.28,1.4,0.035,28,107,0.98836,3,0.4,13.2,6
6.4,0.26,0.26,1.1,0.052,22,176,0.99304,3.09,0.54,9.3,5
7.6,0.26,0.36,1.6,0.032,6,106,0.993,3.15,0.4,10.4,4
5.9,0.12,0.28,1.4,0.037,36,83,0.99074,3.33,0.42,10.9,7
6.9,0.26,0.27,4.2,0.031,20,80,0.99089,3.12,0.39,11.5,6
5.7,0.18,0.26,2.2,0.023,21,95,0.9893,3.07,0.54,12.3,6
7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6
7.2,0.17,0.34,6.4,0.042,16,111,0.99278,2.99,0.4,10.8,6
6.9,0.23,0.4,7.5,0.04,50,151,0.9927,3.11,0.27,11.4,6
8.2,0.37,0.27,1.7,0.028,10,59,0.9923,2.97,0.48,10.4,5
5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7
8.3,0.18,0.3,1.1,0.033,20,57,0.99109,3.02,0.51,11,6
8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5
5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6
8.7,0.3,0.34,4.8,0.018,23,127,0.99474,3.12,0.49,11.2,7
6.1,0.3,0.56,2.7,0.046,46,184,0.9924,3.31,0.57,10.9,6
7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6
6.2,0.2,0.33,5.4,0.028,21,75,0.99012,3.36,0.41,13.5,7
5.8,0.29,0.15,1.1,0.029,12,83,0.9898,3.3,0.4,11.4,6
6.6,0.2,0.38,7.9,0.052,30,145,0.9947,3.32,0.56,11,7
6.6,0.23,0.37,8.5,0.036,46,153,0.99576,3.2,0.48,9.4,6
8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5
8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5
6.1,0.27,0.28,9.8,0.042,61,125,0.99532,3.14,0.42,10.2,6
6.5,0.18,0.31,1.7,0.044,30,127,0.9928,3.49,0.5,10.2,7
7.3,0.28,0.42,14.4,0.04,49,173,0.9994,3.28,0.82,9,7
7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,5
6.7,0.32,0.32,1.7,0.031,31,114,0.98946,3.12,0.35,12.5,6
6.8,0.21,0.37,7,0.038,27,107,0.99206,2.98,0.82,11.5,6
5.1,0.39,0.21,1.7,0.027,15,72,0.9894,3.5,0.45,12.5,6
7.3,0.38,0.23,6.5,0.05,18,102,0.99304,3.1,0.55,11.2,4
6.1,0.32,0.37,1.8,0.051,13,200,0.9945,3.49,0.44,10.5,4
5.7,0.31,0.29,7.3,0.05,33,143,0.99332,3.31,0.5,11.066667,6
7.1,0.25,0.28,1.6,0.052,46,169,0.9926,3.05,0.41,10.5,5
6.7,0.48,0.32,1.4,0.021,22,121,0.9889,3.15,0.53,12.7,7
7.4,0.2,0.31,1.6,0.038,34,116,0.9912,3.25,0.39,12,7
4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,4
6.6,0.23,0.37,8.5,0.036,46,153,0.99576,3.2,0.48,9.4,6
7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6
6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7
6.5,0.29,0.52,1.7,0.034,41,193,0.99223,3.25,0.59,10.4,6
6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,6
6.9,0.35,0.39,2.4,0.048,25,157,0.99133,3.2,0.54,11.1,7
8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8
7.7,0.24,0.27,1.8,0.051,52,190,0.9928,3.23,0.5,10.8,6
5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10,5
8.3,0.17,0.31,1.5,0.049,48,153,0.9942,3.12,0.58,9.4,6
6.6,0.42,0.13,12.8,0.044,26,158,0.99772,3.24,0.47,9,5
6.3,0.21,0.29,11.7,0.048,49,147,0.99482,3.22,0.38,10.8,5
8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,5
6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,6
6.6,0.21,0.36,0.8,0.034,48,113,0.99165,3.24,0.68,10.5,6
6.8,0.24,0.49,19.3,0.057,55,247,1.00055,3,0.56,8.7,5
7.3,0.3,0.34,2.7,0.044,34,108,0.99105,3.36,0.53,12.8,8
6.8,0.29,0.56,11.9,0.043,66,230,0.9972,3.02,0.63,9.3,5
6.1,0.18,0.38,2.3,0.033,28,111,0.98962,3.16,0.49,12.4,6
6.4,0.29,0.3,6.5,0.209,62,156,0.99478,3.1,0.4,9.4,5
7.5,0.19,0.34,2.6,0.037,33,125,0.9923,3.1,0.49,11.1,7
6.6,0.32,0.26,7.7,0.054,56,209,0.9961,3.17,0.45,8.8,5
7.7,0.46,0.18,3.3,0.054,18,143,0.99392,3.12,0.51,10.8,6
8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7
6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,5
8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,5
7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6
7.9,0.21,0.4,1.2,0.039,38,107,0.992,3.21,0.54,10.8,6
6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12,6
7.3,0.27,0.37,9.7,0.042,36,130,0.9979,3.48,0.75,9.9,6
8.1,0.12,0.38,0.9,0.034,36,86,0.99026,2.8,0.55,12,6
6.4,0.22,0.32,7.9,0.029,34,124,0.9948,3.4,0.39,10.2,5
7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,5
6.5,0.16,0.34,1.4,0.029,29,133,0.99108,3.33,0.64,11.5,7
6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7
6.3,0.26,0.25,7.8,0.058,44,166,0.9961,3.24,0.41,9,5
6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6,5
6.5,0.36,0.31,13.55,0.053,20,113,0.99544,3.2,0.56,11,6
8.5,0.22,0.34,0.7,0.04,5,25,0.9918,3.04,0.37,10.5,4
6.4,0.15,0.36,1.8,0.034,43,150,0.9922,3.42,0.69,11,8
5.5,0.62,0.33,1.7,0.037,24,118,0.98758,3.15,0.39,13.55,6
6.4,0.28,0.43,7.1,0.045,60,221,0.9952,3.09,0.45,9.4,6
7.5,0.42,0.19,6.9,0.041,62,150,0.99508,3.23,0.37,10,6
6.4,0.3,0.16,7.5,0.05,55,191,0.9959,3.17,0.49,9,5
6.8,0.23,0.32,1.6,0.026,43,147,0.9904,3.29,0.54,12.5,6
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6
7.4,0.18,0.27,1.3,0.048,26,105,0.994,3.52,0.66,10.6,6
8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,5
6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,6
7.2,0.26,0.24,7,0.023,19,130,0.99176,3.14,0.49,12.8,7
6.7,0.34,0.4,2.1,0.033,34,111,0.98924,2.97,0.48,12.2,7
7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7
7.8,0.17,0.23,1.7,0.029,39,128,0.99272,3.37,0.41,10.7,7
8.7,0.22,0.42,2.3,0.053,27,114,0.994,2.99,0.43,10,5
6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5
6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,5
6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.933333,6
7.3,0.28,0.37,1.2,0.039,26,99,0.99198,3.01,0.62,10.8,5
6.5,0.13,0.27,2.6,0.035,32,76,0.9914,3.21,0.76,11.333333,6
6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5
7.4,0.16,0.32,1.4,0.065,23,140,0.99134,3.06,0.47,11.4,6
6.5,0.26,0.24,10.8,0.042,47,130,0.996,3.08,0.4,10.1,6
7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6
6.7,0.24,0.29,14.9,0.053,55,136,0.99839,3.03,0.52,9,5
8.1,0.29,0.49,7.1,0.042,22,124,0.9944,3.14,0.41,10.8,6
6.2,0.12,0.26,5.7,0.044,56,158,0.9951,3.52,0.37,10.5,6
6.7,0.13,0.32,3.7,0.017,32,99,0.99348,3.12,0.44,10,6
5.4,0.29,0.38,1.2,0.029,31,132,0.98895,3.28,0.36,12.4,6
7.7,0.3,0.34,1.2,0.048,4,119,0.99084,3.18,0.34,12.1,6
7.5,0.34,0.28,4,0.028,46,100,0.98958,3.2,0.5,13.2,7
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
6.9,0.48,0.36,3.5,0.03,31,135,0.9904,3.14,0.38,12.2,7
6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2,6
5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,6
7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,5
7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6
5.9,0.32,0.28,4.7,0.039,34,94,0.98964,3.22,0.57,13.1,7
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,8
6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,6
6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,5
5.7,0.25,0.27,10.8,0.05,58,116,0.99592,3.1,0.5,9.8,6
7.3,0.13,0.32,14.4,0.051,34,109,0.9974,3.2,0.35,9.2,6
5.8,0.23,0.2,2,0.043,39,154,0.99226,3.21,0.39,10.2,6
6,0.1,0.24,1.1,0.041,15,65,0.9927,3.61,0.61,10.3,7
5.7,0.15,0.47,11.4,0.035,49,128,0.99456,3.03,0.34,10.5,8
5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,5
7,0.3,0.27,1.5,0.076,24,145,0.99344,3.1,0.52,10.1,5
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5
7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6
6.4,0.2,0.32,3.1,0.041,18,126,0.9914,3.43,0.42,12,6
6.3,0.22,0.22,5.6,0.039,31,128,0.99296,3.12,0.46,10.4,6
6.6,0.18,0.28,3.3,0.044,18,91,0.993,3.42,0.64,10.8,6
5.3,0.47,0.1,1.3,0.036,11,74,0.99082,3.48,0.54,11.2,4
6.4,0.36,0.2,5.7,0.118,61,172,0.9946,3.24,0.43,9.5,6
6,0.29,0.25,1.4,0.033,30,114,0.98794,3.08,0.43,13.2,6
8.1,0.31,0.36,8.2,0.028,29,142,0.9925,3.01,0.34,13,7
6.4,0.34,0.1,1.1,0.048,19,84,0.9927,3.21,0.38,9.8,5
6.6,0.37,0.07,1.4,0.048,58,144,0.9922,3.17,0.38,10,5
7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6
7.5,0.17,0.34,1.4,0.035,13,102,0.9918,3.05,0.74,11,5
7,0.16,0.73,1,0.138,58,150,0.9936,3.08,0.3,9.2,5
